Parameter,Value,Unit
Trial Number,1,
Galactic Longitude (L),49.196522593265335,degrees
Galactic Latitude (B),-3.9591455494657533,degrees
Right Ascension (RA),294.0149328583382,degrees
Declination (DEC),12.54367975325406,degrees
observed Frequency,1420.3663809212599,MHz
Observation Time,2025-11-19 16:03:27,
Calculated Parameters
Vr,-8.3,km/s
Ur,158.2,km/s
Ut,147.2,km/s
Total Velocity,216.1,km/s
Distance from Sun,-0.6,kpc
Galactic center Distance,8.9,kpc
Spectral Data
Frequency (MHz),avgps,avgps2
1419.4058,28.66,28.63
1419.4215,27.99,27.71
1419.4372,27.53,27.11
1419.453,27.58,27.15
1419.4687,28.31,27.84
1419.4845,29.39,29.1
1419.5002,31.57,31.16
1419.516,34.26,34.02
1419.5317,37.77,37.22
1419.5475,41.35,40.78
1419.5632,45.09,44.74
1419.579,49.17,48.86
1419.5947,53.0,52.61
1419.6105,57.16,56.64
1419.6262,60.9,60.55
1419.642,64.64,64.2
1419.6577,67.95,67.35
1419.6735,71.56,70.83
1419.6892,73.69,73.42
1419.705,76.94,76.34
1419.7207,79.06,78.59
1419.7365,81.16,80.36
1419.7522,82.57,81.95
1419.768,84.02,83.48
1419.7837,85.32,84.26
1419.7995,85.61,84.65
1419.8152,86.39,85.3
1419.8309,86.05,85.76
1419.8467,86.08,85.55
1419.8624,86.18,85.4
1419.8782,85.23,84.99
1419.8939,85.48,84.58
1419.9097,84.37,83.79
1419.9254,84.12,83.94
1419.9412,83.13,82.95
1419.9569,82.46,82.24
1419.9727,81.95,82.1
1419.9884,81.16,81.28
1420.0042,80.42,80.87
1420.0199,80.22,80.6
1420.0357,80.33,81.02
1420.0514,79.86,80.77
1420.0672,79.68,81.38
1420.0829,79.37,81.37
1420.0987,79.57,82.66
1420.1144,79.78,83.88
1420.1302,80.17,85.12
1420.1459,80.49,87.47
1420.1617,81.12,89.81
1420.1774,81.98,91.27
1420.1932,82.98,92.74
1420.2089,83.27,94.52
1420.2246,84.0,96.17
1420.2404,84.98,97.47
1420.2561,85.27,98.91
1420.2719,86.24,101.66
1420.2876,87.11,104.28
1420.3034,87.9,108.56
1420.3191,88.19,112.36
1420.3349,88.65,114.65
1420.3506,89.51,117.66
1420.3664,89.22,120.67
1420.3821,89.16,117.46
1420.3979,89.96,111.35
1420.4136,90.0,104.5
1420.4294,89.33,98.56
1420.4451,89.33,95.57
1420.4609,88.92,94.15
1420.4766,88.16,93.04
1420.4924,87.44,91.8
1420.5081,86.82,90.68
1420.5239,86.17,89.88
1420.5396,85.21,89.66
1420.5554,84.24,88.77
1420.5711,83.47,88.06
1420.5869,82.31,87.71
1420.6026,81.23,87.04
1420.6183,80.64,85.92
1420.6341,79.64,84.97
1420.6498,79.08,84.29
1420.6656,77.98,82.11
1420.6813,77.41,81.11
1420.6971,76.97,79.92
1420.7128,76.39,78.64
1420.7286,75.82,78.22
1420.7443,75.38,77.57
1420.7601,75.52,77.14
1420.7758,75.98,76.97
1420.7916,76.05,76.6
1420.8073,76.01,76.95
1420.8231,76.42,77.09
1420.8388,76.61,77.58
1420.8546,77.76,77.31
1420.8703,78.04,78.36
1420.8861,78.32,78.94
1420.9018,79.27,79.45
1420.9176,79.95,80.07
1420.9333,80.29,80.78
1420.9491,80.92,81.36
1420.9648,81.46,81.52
1420.9806,81.93,82.36
1420.9963,82.43,82.43
1421.0121,82.49,82.01
1421.0278,82.16,81.91
1421.0435,81.54,82.07
1421.0593,81.55,80.93
1421.075,80.65,80.28
1421.0908,79.59,79.23
1421.1065,78.01,77.92
1421.1223,76.58,75.99
1421.138,74.43,74.14
1421.1538,72.24,71.92
1421.1695,69.97,69.22
1421.1853,66.99,67.1
1421.201,64.09,63.78
1421.2168,61.52,60.79
1421.2325,58.16,57.71
1421.2483,54.76,54.41
1421.264,51.63,51.29
1421.2798,48.52,47.86
1421.2955,45.23,44.94
1421.3113,42.24,41.94
1421.327,39.7,39.31
1421.3428,37.26,36.76
1421.3585,34.96,34.59
1421.3743,33.02,32.62
1421.39,31.14,30.99
1421.4058,29.9,29.61
