Parameter,Value,Unit
Trial Number,1,
Galactic Longitude (L),30.320778884393274,degrees
Galactic Latitude (B),33.66061735615403,degrees
Right Ascension (RA),251.3063982561556,degrees
Declination (DEC),12.649825312263049,degrees
observed Frequency,1420.4608691102362,MHz
Observation Time,2025-11-24 12:53:25,
Calculated Parameters
Vr,11.6,km/s
Ur,122.7,km/s
Ut,226.8,km/s
Total Velocity,257.9,km/s
Distance from Sun,0.9,kpc
Galactic center Distance,7.7,kpc
Spectral Data
Frequency (MHz),avgps,avgps2
1419.4058,26.69,26.78
1419.4215,25.72,25.89
1419.4372,25.35,25.45
1419.453,25.24,25.33
1419.4687,25.84,25.99
1419.4845,27.27,27.31
1419.5002,29.35,29.31
1419.516,31.81,31.93
1419.5317,34.93,34.87
1419.5475,38.33,38.51
1419.5632,42.13,42.11
1419.579,45.94,46.05
1419.5947,49.63,49.64
1419.6105,53.41,53.43
1419.6262,56.7,57.36
1419.642,60.33,60.5
1419.6577,63.49,63.74
1419.6735,66.78,66.81
1419.6892,69.39,69.64
1419.705,71.87,71.81
1419.7207,74.26,74.19
1419.7365,76.25,76.42
1419.7522,77.74,78.0
1419.768,78.5,79.15
1419.7837,79.85,80.49
1419.7995,80.55,80.42
1419.8152,80.68,81.13
1419.8309,80.77,81.54
1419.8467,80.79,81.17
1419.8624,80.95,81.03
1419.8782,80.08,80.39
1419.8939,79.57,80.43
1419.9097,78.95,79.7
1419.9254,78.7,79.09
1419.9412,77.93,78.61
1419.9569,77.58,77.83
1419.9727,76.84,77.25
1419.9884,76.23,76.63
1420.0042,75.87,76.48
1420.0199,75.38,75.9
1420.0357,74.77,75.63
1420.0514,74.93,75.21
1420.0672,74.71,75.59
1420.0829,74.78,75.78
1420.0987,74.86,75.41
1420.1144,75.01,75.66
1420.1302,75.33,76.03
1420.1459,75.8,76.45
1420.1617,76.52,76.83
1420.1774,76.67,77.58
1420.1932,77.71,78.24
1420.2089,78.03,79.42
1420.2246,79.19,79.91
1420.2404,79.59,80.8
1420.2561,80.39,81.38
1420.2719,81.25,82.04
1420.2876,81.69,83.12
1420.3034,82.44,84.11
1420.3191,82.78,84.8
1420.3349,83.36,85.87
1420.3506,83.59,86.11
1420.3664,83.93,86.92
1420.3821,84.3,88.06
1420.3979,84.36,89.36
1420.4136,83.9,90.76
1420.4294,83.87,92.49
1420.4451,84.3,94.53
1420.4609,83.37,95.4
1420.4766,83.04,93.53
1420.4924,82.05,90.67
1420.5081,81.7,87.12
1420.5239,80.91,84.47
1420.5396,79.92,82.37
1420.5554,79.11,81.14
1420.5711,78.34,80.13
1420.5869,77.15,79.01
1420.6026,76.48,77.85
1420.6183,75.57,76.8
1420.6341,74.86,75.91
1420.6498,73.94,75.14
1420.6656,73.37,74.24
1420.6813,72.65,73.16
1420.6971,72.14,73.05
1420.7128,71.64,72.28
1420.7286,71.01,72.09
1420.7443,71.18,71.98
1420.7601,70.96,71.89
1420.7758,70.93,71.62
1420.7916,70.94,71.95
1420.8073,71.08,72.37
1420.8231,71.35,72.23
1420.8388,71.82,73.14
1420.8546,72.37,73.85
1420.8703,72.97,73.71
1420.8861,73.61,74.34
1420.9018,74.2,74.99
1420.9176,74.64,75.56
1420.9333,75.41,76.26
1420.9491,75.9,77.0
1420.9648,76.52,77.32
1420.9806,76.67,77.79
1420.9963,76.85,77.87
1421.0121,77.12,78.09
1421.0278,76.96,78.26
1421.0435,76.59,77.52
1421.0593,76.11,77.2
1421.075,75.34,76.31
1421.0908,74.27,75.35
1421.1065,72.98,73.87
1421.1223,71.68,72.43
1421.138,69.74,70.74
1421.1538,67.84,68.44
1421.1695,65.45,66.12
1421.1853,62.98,63.21
1421.201,60.07,60.98
1421.2168,57.2,57.92
1421.2325,54.25,55.01
1421.2483,51.32,51.79
1421.264,48.33,48.77
1421.2798,45.2,45.78
1421.2955,42.2,42.75
1421.3113,39.68,39.91
1421.327,36.86,37.14
1421.3428,34.59,35.0
1421.3585,32.25,32.64
1421.3743,30.52,30.64
1421.39,28.98,29.09
1421.4058,27.63,27.73
